id_card,academic_year_id,to_pay,pay_1_no,pay_1,pay_2_no,pay_2,pay_3_no,pay_3,sport_no,sport
,2015,250,,,,,,,,
,2015,200,,,,,,,,
e20100036,2015,450,5671,450,,,,,,
e20100009,2015,450,2853,450,,,,,,
e20100182,2015,450,2889,450,,,,,,
e20100311,2015,450,3258,200,5620,250,,,,
e20110755,2015,225,2271,100,4457,125,,,e20110755,
e20100581,2015,450,1357,450,,,,,,
e20100436,2015,450,3476,200,5089,250,,,,
e2009304,2015,225,,,,,,,e2009304,
e20111059,2015,0,,,,,,,,
e20100129,2015,450,1317,450,,,,,,
e20100317,2015,225,2466,100,5630,125,,,,
e2009429,2015,450,2776,100,5689,350,,,,
e20100260,2015,450,4015,450,,,,,,
e20100264,2015,450,3265,200,5483,250,,,,
e2009031,2015,450,3150,150,5476,300,,,,
e20100496,2015,450,2206,225,3761,225,,,,
e20100458,2015,450,3324,450,,,,,,
e20100320,2015,450,2680,220,5631,230,,,,
e20100308,2015,450,1505,450,,,,,,
e20100078,2015,450,3456,250,5575,200,,,,
e20100654,2015,450,1424,250,3304,200,,,,
e2009594,2015,450,,,,,,,,
,2015,450,,,,,,,,
e20100225,2015,450,2020,225,3705,225,,,,
e20100476,2015,225,1528,150,3647,75,,,,
e20121238,2015,450,2693,225,5448,225,,,,
e20140989,2015,,,,,,,,,
,2015,0,1476,100,,,,,,
e20100015,2015,450,1124,200,5363,250,,,,
e20100272,2015,450,5708,450,,,,,,
e20100138,2015,450,5360,75,5360,375,,,,
e20100722,2015,450,2607,150,4819,300,,,,
e20100144,2015,450,2278,225,4718,225,,,,
e20100867,2015,225,1271,225,,,,,,
e20100483,2015,0,,,,,,,,
e2009448,2015,225,,,,,,,,
e20100589,2015,225,3179,225,,,,,,
e2009248,2015,450,66,450,,,,,,
e20100131,2015,450,1744,225,5538,225,,,,
e20121228,2015,0,,,,,,,e20121228,
e20100012,2015,450,2382,450,,,,,,
e20100567,2015,0,,,,,,,,
e20100373,2015,450,178,225,5253,225,,,,
e20130999,2015,300,2472,300,,,,,,
e20120270,2015,500,3080,250,5281,100,,,,
,2015,,,,,,,,,
