id_card,to_pay,pay_1_no,pay_1,pay_2_no,pay_2,pay_3_no,pay_3,sport_no,sport
e20140286,550,946,300,4360,250,,,,
e20140677,550,715,550,,,,,,
e20140421,550,903,275,3807,275,,,,
e20140636,550,833,300,4020,250,,,,
e20140125,550,943,275,4458,275,,,,
e20140182,550,453,550,,,,,,
e20130304,550,,,,,,,,
e20140025,550,675,275,4176,275,,,,
e20130405,0,,,,,,,,
e20140463,550,760,550,,,,,,
e20140478,0,,,,,,,,
e20140604,550,620,280,3773,270,,,,
e20140515,550,137,275,4484,275,,,,
e20140145,550,739,275,,,,,,
e20140617,550,247,300,3338,250,,,,
e20140822,400,372,200,4242,200,,,,
e20141031,300,677,150,4327,150,,,,
e20130620,550,,,,,,,,
e20140485,550,317,275,4259,275,,,,
e20140197,0,,,,,,,,
e20140611,550,318,275,3987,275,,,,
e20140730,550,562,275,,,,,,
e20141073,200,1834,100,3969,100,,,,
e20140952,300,1101,150,5000,150,,,,
e20140699,550,852,275,4701,275,,,,
e20140328,550,7312,275,4737,200,,,,
e20140023,550,98,275,3845,275,,,,
e20140658,550,845,275,,,,,,
e20140235,550,359,275,4460,275,,,,
e20140729,550,500,275,3551,275,,,,
e20140560,550,512,275,4395,275,,,,
e20140191,550,145,300,4295,250,,,,
e20140425,550,977,275,4694,275,,,,
e20140512,400,201,400,,,,,,
e20140693,550,147,300,4085,250,,,,
e20140058,550,721,275,3061,275,,,,
e20140288,0,,,,,,,,
e20140796,0,,,,,,,,
e20131178,300,1362,150,5140,150,,,,
e20140024,550,857,300,3519,250,,,,
e20130570,550,,,,,,,,
e20130845,550,1969,275,5042,275,,,,
e20140277,400,847,200,4037,200,,,,
e20140364,550,895,275,4684,275,,,,
e20140998,0,711,150,3815,150,,,,
e20140232,400,510,200,4292,200,,,,
e20140750,550,50,275,4135,275,,,,
e20140710,0,,,,,,,,
e20140091,550,636,275,,,,,,
e20140303,0,,,,,,,,
e20140810,550,501,275,4750,275,,,,
e20130785,550,2010,275,3697,275,,,,
e20140208,400,458,200,4078,200,,,,
e20140930,300,1036,300,,,,,,
e20140736,550,867,300,,,,,,
e20140829,550,940,300,4208,250,,,,
e20140471,550,802,300,,,,,,
e20140116,550,864,550,,,,,,
e20140785,550,126,300,3498,250,,,,
e20140262,550,859,275,3342,275,,,,
e20140541,0,,,,,,,,
e20140428,400,633,200,3996,200,,,,
e20140748,550,221,275,,,,,,
e20140905,200,1014,200,,,,,,
e20140983,300,1242,150,3491,150,,,,
e20140379,550,514,275,4353,275,,,,
e20140644,550,335,300,4300,250,,,,
e20140441,550,511,275,3033,275,,,,
e20140358,400,194,200,3763,200,,,,
e20130849,550,2995,275,5035,275,,,,
e20140557,550,257,275,5097,275,,,,
e20140388,550,161,275,4612,275,,,,
e20140806,400,252,200,3982,200,,,,
e20141060,300,1031,150,3532,150,,,,
e20140554,550,875,275,4547,275,,,,
,300,,,,,,,,
e20140139,550,839,300,5028,250,,,,
e20140621,550,938,275,3611,275,,,,
e20130801,400,23,400,,,,,,
e20140743,550,837,275,4681,275,,,,
e20140216,0,,,,,,,,
e20140826,0,,,,,,,,
e20140992,300,1450,300,,,,,,
e20140933,200,993,100,3574,100,,,,
e20140370,550,445,550,,,,,,
e20140650,400,184,200,4950,200,,,,
e20140513,550,51,275,3525,275,,,,
e20140627,464.5,151,200,4617,264.5,,,,
e20140360,550,710,550,,,,,,
e20140526,550,210,275,4614,275,,,,
e20140784,550,577,275,4178,275,,,,
e20140764,400,357,200,3835,200,,,,
e20140720,550,212,275,3677,275,,,,
e20140017,400,958,200,2811,200,,,,
e20140576,550,924,300,3290,250,,,,
e20140049,550,197,300,3592,250,,,,
e20140072,550,604,275,2879,275,,,,
e20140683,550,271,275,3828,275,,,,
e20140381,550,61,275,3665,275,,,,
e20140427,550,788,300,3615,250,,,,
e20140798,550,900,275,3799,275,,,,
e20140076,0,,,,,,,,
e20140522,550,891,275,4398,275,,,,
e20141019,300,1163,150,3618,150,,,,
,300,727,300,,,,,,
e20140087,0,182,,,,,,,
e20140295,550,841,275,5007,275,,,,
e20140630,400,945,200,4121,200,,,,
,0,,,,,,,,
e20140612,0,,,,,,,,
e20140520,400,447,200,4476,200,,,,
e20140175,550,493,200,4602,350,,,,
e20140641,550,652,275,,,,,,
e20131182,0,,,,,,,,
e20140964,300,1257,150,5172,150,,,,
,300,1257,150,,,,,,
,300,759,150,3658,150,,,,
e20140812,550,179,550,,,,,,
e20140800,400,699,400,,,,,,
e20140090,550,172,500,5202,50,,,,
e20130138,550,,,,,,,,
e20130571,550,2750,275,5361,275,,,,
e20140274,550,244,275,4268,275,,,,
e20140311,400,263,200,3728,200,,,,
e20140375,550,601,275,3570,275,,,,
e20140993,300,1027,150,3972,150,,,,
e20140448,0,,,,,,,,
e20140029,550,726,550,,,,,,
e20140044,400,640,200,,,,,,
e20140184,0,,,,,,,,
e20140739,550,774,200,3546,350,,,,
e20140811,0,,,,,,,,
e20140577,550,410,550,,,,,,
e20140439,550,227,275,3600,275,,,,
e20140187,400,969,200,3322,200,,,,
e20140068,550,628,275,,,,,,
e20140244,550,167,275,3664,275,,,,
e20140991,200,1265,100,3759,100,,,,
e20141058,300,794,150,,,,,,
e20140082,550,621,275,,,,,,
e20140714,550,870,275,4128,275,,,,
e20140544,550,838,275,4308,275,,,,
e20120784,500,2647,250,4899,250,,,,
e20140960,200,1008,100,3971,100,,,,
e20140043,550,141,275,,,,,,
e20140987,200,763,200,,,,,,
e20130307,0,,,,,,,,
e20140676,550,92,275,4167,275,,,,
e20140450,550,416,275,4091,275,,,,
e20140685,550,815,550,,,,,,
e20140639,400,103,400,,,,,,
e20140185,400,793,200,4146,200,,,,
e20140346,400,371,200,3729,200,,,,
e20140066,550,157,300,5676,250,,,,
e20140266,0,657,0,,,,,,
e20140488,0,,,,,,,,
e20140332,550,419,275,4100,275,,,,
e20140458,550,532,300,2990,250,,,,
e20140192,550,234,275,4358,275,,,,
e20140762,550,576,275,,,,,,
e20140531,400,898,200,5359,200,,,,
e20140696,550,262,275,4124,275,,,,
e20140814,550,681,250,4194,300,,,,
e20140163,550,750,275,4594,275,,,,
e20140523,550,464,275,3946,275,,,,
e20140897,0,1072,100,4040,100,,,,
e20140054,550,561,275,4776,275,,,,
,300,1156,150,5223,150,,,,
e20140791,550,761,275,4258,275,,,,
e20140792,550,276,300,4070,250,,,,
e20140385,400,873,200,3495,200,,,,
e20140283,550,609,275,,,,,,
e20140083,400,88,200,,,,,,
e20140152,550,804,275,4248,275,,,,
e20140938,200,1110,100,3872,100,,,,
e20140702,550,941,275,3956,275,,,,
e20140218,550,624,275,3639,275,,,,
e20140239,0,,,,,,,,
e20140469,550,1011,275,4691,275,,,,
,300,1026,150,5596,150,,,,
e20140202,550,615,275,4685,275,,,,
e20140063,400,949,200,3902,200,,,,
e20140307,400,808,200,4325,200,,,,
e20140776,550,579,275,4133,275,,,,
e20140891,300,849,150,4567,150,,,,
e20140529,400,384,200,,,,,,
e20140618,550,580,275,4507,275,,,,
e20140549,550,280,275,3545,275,,,,
e20140947,200,1081,200,,,,,,
e20140173,550,756,275,,,,,,
e20140194,550,307,275,,,,,,
e20140578,550,178,200,4616,350,,,,
e20141012,300,1264,300,,,,,,
e20140824,550,659,275,4097,275,,,,
e20140250,550,53,300,3591,250,,,,
,200,789,200,,,,,,
,0,948,150,3730,150,,,,
,300,2129,150,3741,150,,,,
,300,1981,150,5179,150,,,,
,300,2118,300,,,,,,
,200,1908,100,5024,100,,,,
,200,2099,200,,,,,,
,300,2153,150,3822,150,,,,
,300,2152,300,,,,,,
,300,1390,150,4004,150,,,,
,300,2119,150,,,,,,
,300,2043,150,3483,150,,,,
,200,1186,200,,,,,,
,450,3260,450,,,,,,
,300,1999,150,,,,,,
,200,2091,100,3607,100,,,,
,300,1764,150,5223,150,,,,
,300,1982,150,5178,150,,,,
,300,2900,150,5730,150,,,,
,450,2196,450,,,,,,
,300,2041,150,3769,150,,,,
,200,1897,100,,,,,,
,300,1004,150,3770,150,,,,
