id_card,academic_year_id,to_pay,pay_1_no,pay_1,pay_2_no,pay_2,pay_3_no,pay_3,sport_no,sport
e20130235,2014,275,1276,275,,,,,,
e20130961,2014,200,1486,100,3557,100,,,,
e20130098,2014,550,125,275,3603,275,,,,
e20130612,2014,550,1045,275,3787,275,,,,
e20130689,2014,550,762,250,4316,300,,,,
e20130766,2014,550,911,275,4104,275,,,,
e20130229,2014,550,120,300,4291,250,,,,
e20130431,2014,550,1009,550,,,,,,
e20130253,2014,400,75,200,3708,200,,,,
e20131224,2014,0,1916,,3507,,,,,
e20130770,2014,550,1027,280,4747,270,,,,
e20130800,2014,400,207,200,,,,,,
e20130165,2014,550,818,275,,,,,,
e20130167,2014,550,895,275,3713,275,,,,
e20130354,2014,550,273,275,4768,275,,,,
e20130474,2014,275,1370,275,,,,,,
e20131076,2014,300,503,150,5516,150,,,,
e20130328,2014,550,343,275,3773,275,,,,
e20130839,2014,0,,,,,,,,
e20130124,2014,550,138,300,4117,250,,,,
e20130487,2014,550,392,275,3839,275,,,,
e20131171,2014,200,1288,100,4406,100,,,,
e20130078,2014,550,1244,275,3978,275,,,,
e20130262,2014,0,,,,,,,,
e20130862,2014,550,615,550,,,,,,
e20120221,2014,250,710,250,,,,,,
e20130788,2014,400,476,200,4029,200,,,,
e20130464,2014,550,382,275,3902,275,,,,
e20131004,2014,300,1292,300,,,,,,
e20130846,2014,275,935,275,,,,,,
e20130375,2014,400,980,200,3568,200,,,,
e20130923,2014,550,590,275,3738,275,,,,
e20130725,2014,550,146,275,4035,275,,,,
e20130023,2014,550,3380,275,4061,275,,,,
e20130257,2014,550,353,275,4670,275,,,,
e20130248,2014,200,1021,200,,,,,,
e20130480,2014,550,107,275,3785,275,,,,
e20120055,2014,500,1833,250,4130,250,,,,
e20130082,2014,550,951,550,,,,,,
e20120679,2014,250,1856,125,3658,125,,,,
e20130898,2014,550,581,275,3806,275,,,,
e20130309,2014,550,164,275,3809,275,,,,
e20130369,2014,550,816,275,4531,275,,,,
e20130711,2014,550,116,275,3646,275,,,,
e20130871,2014,550,1514,550,,,,,,
e20130807,2014,400,424,200,3903,200,,,,
e20120245,2014,500,565,250,4416,250,,,,
e20130075,2014,550,396,275,3734,275,,,,
e20130147,2014,400,568,200,3577,200,,,,
e20130992,2014,300,1308,150,3781,150,,,,
e20130816,2014,400,584,200,4080,200,,,,
e20131181,2014,200,1426,200,,,,,,
e20130034,2014,300,78,300,,,,,,
e20130105,2014,550,357,275,,,,,,
e20130250,2014,550,51,550,,,,,,
e20130331,2014,400,1126,200,3799,200,,,,
e20120548,2014,250,1853,125,3877,125,,,,
e20130101,2014,550,1007,550,,,,,,
e20120189,2014,500,2406,250,4844,250,,,,
e20130468,2014,550,45,300,3535,250,,,,
e20130855,2014,550,1387,275,4745,275,,,,
e20130646,2014,550,132,550,,,,,,
e20131095,2014,300,1407,150,4936,150,,,,
e20130352,2014,550,378,275,4001,275,,,,
e20130554,2014,400,994,200,4095,200,,,,
e20131002,2014,200,1179,200,,,,,,
e20130778,2014,550,255,275,4251,275,,,,
e20130199,2014,550,899,275,3562,275,,,,
e20130100,2014,550,825,275,4369,275,,,,
e20130168,2014,0,,,,,,,,
e20130701,2014,550,1002,275,3655,275,,,,
e20130667,2014,550,479,275,4266,275,,,,
e20130484,2014,550,629,275,3917,275,,,,
e20130567,2014,550,810,275,3544,275,,,,
e20130979,2014,300,1183,300,,,,,,
e20130024,2014,400,201,400,,,,,,
e20130226,2014,550,1012,275,3899,275,,,,
e20130656,2014,550,1019,280,4127,270,,,,
e20131145,2014,300,1418,150,5595,150,,,,
e20120475,2014,500,3728,250,5642,250,,,,
e20131075,2014,300,518,150,3928,150,,,,
e20130061,2014,400,734,400,,,,,,
e20130448,2014,550,552,275,3574,275,,,,
e20131138,2014,300,1301,100,3874,100,5418,100,,
e20130828,2014,275,756,275,,,,,,
e20130222,2014,550,982,200,,,,,,
e20130654,2014,0,,,,,,,,
e20130255,2014,550,852,550,,,,,,
e20130210,2014,550,564,275,,,,,,
e20130401,2014,0,,,,,,,,
e20130460,2014,200,964,200,,,,,,
e20130601,2014,550,865,200,3665,350,,,,
e20130336,2014,550,622,300,4543,250,,,,
e20130625,2014,550,644,275,3771,275,,,,
e20130356,2014,550,1416,275,3582,275,,,,
e20130505,2014,550,635,100,4628,300,,,,
e20130565,2014,400,71,250,3759,150,,,,
e20130591,2014,400,939,200,3890,200,,,,
e20130207,2014,550,82,550,,,,,,
e20130713,2014,400,1103,200,3722,200,,,,
e20120542,2014,250,1212,125,5258,125,,,,
e20131187,2014,300,414,300,,,,,,
e20130467,2014,400,704,200,3698,200,,,,
e20130724,2014,550,866,275,3510,275,,,,
e20130156,2014,550,507,275,4257,275,,,,
e20130334,2014,550,764,275,4049,275,,,,
e20130975,2014,300,306,300,,,,,,
e20130143,2014,0,,,,,,,,
e20130373,2014,300,770,300,,,,,,
e20130751,2014,550,487,275,,,,,,
e20130128,2014,550,835,550,,,,,,
e20130269,2014,400,72,400,,,,,,
e20130722,2014,550,831,275,4371,275,,,,
e20130922,2014,550,1096,275,3739,275,,,,
e20130976,2014,0,526,,3558,,,,,
e20130529,2014,400,668,200,4069,200,,,,
,2014,300,1087,300,,,,,,
e20131054,2014,200,539,100,3790,100,,,,
e20130517,2014,550,449,275,4148,275,,,,
e20131070,2014,300,375,150,4599,150,,,,
e20130021,2014,550,238,275,3887,275,,,,
e20131006,2014,200,1366,100,4059,100,,,,
e20130930,2014,550,572,550,,,,,,
e20130875,2014,550,707,300,4086,250,,,,
e20130719,2014,550,1435,275,4474,275,,,,
e20130615,2014,400,450,200,4755,200,,,,
e20130519,2014,550,846,275,3513,275,,,,
e20130192,2014,400,677,200,4351,200,,,,
