scholarship_id,to_pay,to_pay_currency,degree_id,department_id,grade_id,promotion_id,academic_year_id
1,450,$,1,all,all,35,
1,400,$,1,all,all,34,
1,400,$,1,all,all,33,
1,250,$,1,all,all,32,
1,225,$,1,all,all,31,
1,200,$,3,all,all,22,
1,200,$,3,all,all,21,
2,120000,៛,1,all,all,35,
2,120000,៛,1,all,all,34,
2,120000,៛,1,all,all,33,
2,120000,៛,1,all,all,32,
2,120000,៛,1,all,all,31,
2,120000,៛,3,all,all,22,
2,120000,៛,3,all,all,21,
3,120000,៛,1,all,all,35,
3,120000,៛,1,all,all,34,
3,120000,៛,1,all,all,33,
3,120000,៛,1,all,all,32,
3,120000,៛,1,all,all,31,
3,120000,៛,3,all,all,22,
3,120000,៛,3,all,all,21,
4,120000,៛,1,all,all,35,
4,120000,៛,1,all,all,34,
4,120000,៛,1,all,all,33,
4,120000,៛,1,all,all,32,
4,120000,៛,1,all,all,31,
4,120000,៛,3,all,all,22,
4,120000,៛,3,all,all,21,
5,120000,៛,1,all,all,35,
5,120000,៛,1,all,all,34,
5,120000,៛,1,all,all,33,
5,120000,៛,1,all,all,32,
5,120000,៛,1,all,all,31,
5,120000,៛,3,all,all,22,
5,120000,៛,3,all,all,21,
