name
Study room
Laboratory
Office
Storage room
Sport room
Guardian room
Conference room
Library
JICA
CNF
Department
Study office
Deputy director
Director
ADM
Secretary
Computer room
KOICA
E-Learning center
Office planning
CA room
BC
H.E CA
Salle conseiller
WC
Amphitheatre
Video room
SA office
AUF
Photocopy shop
SI room
Under building A
Under conference room
Meeting room
